Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 12:08:17	330	595	4	0	0	0	0	7.5	0	0	0	6	0	0	0	6.5	0	0	0	5	0	0.478		21.7113	420.692	2.71264	0	124.942	0.304791	2267.87	1		0.0708984	12.0705	49.733	0	54.7665	-1.57021	
2026-08-14 12:09:33	342	596	1	0	1.5	0	0	7.5	1.5	0	0	4.5	1.5	0	0	5	1.5	0	0	4.25	1.5	1.19		31.4125	288.283	0.555293	0	17.6774	0.339009	1249.54	1		0.0708984	12.0439	49.2132	0	54.7664	-1.57022	
2026-08-14 12:07:59	328	597	3	0	0	0	0	7.5	0	0	0	1.5	0	0	0	2	0	0	0	2.75	0	0.706		21.8282	422.775	1.38479	0	63.4405	0.229057	2192.35	1		0.0708984	12.1679	49.733	0	54.7665	-1.57021	
2026-08-14 12:12:02	368	598	1	4	0	0	0	5.5	1.5	0	0	4.5	0.5	0	0	5	1	0	0	4.75	0.75	0.367		32.4883	289.717	9.08203	0	279.548	0.295854	1242	1		0.0708984	12.1148	48.4336	0	54.7664	-1.57015	
2026-08-14 12:14:53	398	599	1	2	0.5	0	0	2	1	0	0	2	0	0	0	2	1.5	0	0	2	0.75	0.259		26.6963	344.726	6.88053	0	257.733	0.367466	809.693	1		0.0797607	12.1148	48.1737	0	54.7664	-1.57017	
2026-08-14 12:10:08	348	600	1	2	0	0	0	2	1.5	0	0	2	0.5	0	0	2	1	0	0	2	0.75	0.259		34.4259	265.829	8.85947	0	257.349	0.336757	808.485	1		0.0708984	12.1148	48.9533	0	54.7664	-1.57019	
2026-08-14 12:12:42	375	601	1	1	1.5	0	0	2.5	0	0	0	1.5	1	0	0	2	0.5	0	0	1.75	0.75	0.367		36.3972	252.691	9.19951	0	252.754	0.336869	1122.95	1		0.0797607	12.1148	48.4336	0	54.7664	-1.57016	
2026-08-14 12:08:53	336	602	3	0	1	0	0	7.5	1	0	0	1.5	1	0	0	2	1	0	0	2.75	1	0.706		24.6349	370.872	0.927403	0	37.6458	0.239332	1300.95	1		0.0708984	12.1236	49.4731	0	54.7665	-1.5702	
2026-08-14 12:08:40	334	603	1	0	0.5	0	0	7.5	0.5	0	0	4.5	0.5	0	0	5	0.5	0	0	4.25	0.5	1.19		27.5517	327.532	0.640193	0	23.2361	0.0290643	1642.46	1		0.0708984	12.0439	49.4731	0	54.7665	-1.57021	
2026-08-14 12:08:35	333	604	4	0	0.5	0	0	7.5	0.5	0	0	4	0.5	0	0	4.5	0.5	0	0	4	0.5	1.366		27.5494	328.136	0.505666	0	18.3549	0.173146	1529.6	1		0.0708984	12.1148	49.6031	0	54.7665	-1.57021	
2026-08-14 12:09:51	345	605	1	0.5	0	0	0	0.5	1.5	0	0	0.5	0.5	0	0	0.5	1	0	0	0.5	0.75	0.259		27.0676	340.48	8.17784	0	302.127	0.324342	949.16	1		0.0708984	12.1236	49.0833	0	54.7664	-1.57019	
2026-08-14 12:11:28	362	606	1	1	0	0	0	2.5	1.5	0	0	1.5	0.5	0	0	2	1	0	0	1.75	0.75	0.367		31.1069	294.697	8.31161	0	267.195	0.362661	1187.12	1		0.0708984	12.1148	48.6935	0	54.7664	-1.57015	
2026-08-14 12:10:02	347	607	1	1.5	0	0	0	1.5	1.5	0	0	1.5	0.5	0	0	1.5	1	0	0	1.5	0.75	0.259		29.8334	308.086	9.57239	0	320.862	0.393932	1008.02	1		0.0708984	12.1148	49.0833	0	54.7664	-1.57018	
2026-08-14 12:12:08	369	608	1	4.5	0	0	0	6	1.5	0	0	5	0.5	0	0	5.5	1	0	0	5.25	0.75	0.367		20.4377	430.762	5.80721	0	284.142	0.285729	1262.41	1		0.0708984	12.1148	48.4336	0	54.7664	-1.57016	
2026-08-14 12:13:39	385	609	1	6	1.5	0	0	7.5	0	0	0	6.5	1	0	0	7	0.5	0	0	6.75	0.75	0.367		18.7949	480.001	6.32315	0	336.429	0.226645	1494.72	1		0.0708984	12.1148	48.3036	0	54.7664	-1.57018	
2026-08-14 12:14:02	389	610	1	5.5	0.5	0	0	6	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	4.75	0.5	0.706		27.3048	336	1.48772	0	54.4855	0.300669	1882.89	1		0.0708984	12.1148	48.3036	0	54.7664	-1.57018	
2026-08-14 12:14:47	397	611	1	1	0.5	0	0	1	1	0	0	1	0	0	0	1	1.5	0	0	1	0.75	0.259		33.4431	273.211	10.9868	0	328.521	0.361205	1032.08	1		0.0708984	12.1148	48.1737	0	54.7664	-1.57017	
2026-08-14 12:10:19	350	612	1	3	0	0	0	3	1.5	0	0	3	0.5	0	0	3	1	0	0	3	0.75	0.259		32.6076	280.258	10.9053	0	334.439	0.303396	1050.67	1		0.0708984	12.1148	48.9533	0	54.7664	-1.57017	
2026-08-14 12:10:25	351	613	1	3.5	0	0	0	3.5	1.5	0	0	3.5	0.5	0	0	3.5	1	0	0	3.5	0.75	0.259		32.0157	286.682	9.38137	0	293.024	0.373393	920.563	1		0.0708984	12.1148	48.9533	0	54.7664	-1.57017	
2026-08-14 12:15:16	402	614	1	3.5	0.5	0	0	4	1	0	0	3	0	0	0	4.5	1.5	0	0	3.75	0.75	0.367		39.485	232.119	10.4866	0	265.585	0.304211	1179.96	1		0.0797607	12.1148	48.1737	0	54.7665	-1.57019	
2026-08-14 12:14:59	399	615	1	4	0.5	0	0	4	1	0	0	4	0	0	0	4	1.5	0	0	4	0.75	0.259		47.2375	195.662	14.5203	0	307.389	0.243569	965.689	1		0.0708984	12.1148	48.1737	0	54.7664	-1.57017	
2026-08-14 12:08:28	332	616	2	0	0.5	0	0	7.5	0.5	0	0	1	0.5	0	0	1.5	0.5	0	0	2.5	0.5	0.478		27.6678	329.815	2.015	0	72.8282	0.41951	1321.94	1		0.0708984	12.1236	49.6031	0	54.7665	-1.57021	
